,feature,divergence
22,PWGTP,1.098716015489973
1,AGEP,0.8520208083233294
23,WGTP,0.7282337113203919
14,PINCP,0.7097011518471695
15,PINCP_DECILE,0.6922864868661329
11,INDP,0.4114847957508449
13,EDU,0.35983249165016173
12,INDP_CAT,0.234404991346974
7,NPF,0.1411078274874912
3,MSP,0.1311157031371456
6,NOC,0.06286913133066858
16,POVPIP,0.05013038967499733
0,PUMA,0.04504232176505185
4,HISP,0.03322484641211236
10,DENSITY,0.02810719256762423
19,DPHY,0.011854138517368586
18,DREM,0.010000198589626162
9,OWN_RENT,0.005550655796732293
2,SEX,0.004209821781696266
17,DVET,0.0031824515813086607
8,HOUSING_TYPE,0.0029663922850575244
21,DEAR,0.0016795236583380738
20,DEYE,0.0004130924844422332
5,RAC1P,0.0003003905076599579
