,INDP,count_target,count_deidentified
14,4670,53,45.0
25,4680,14,8.0
3,4690,25,21.0
17,4770,28,31.0
20,4780,3,3.0
12,4795,21,26.0
2,4870,38,37.0
27,4880,11,7.0
7,4890,13,16.0
0,4971,76,74.0
16,4972,9,10.0
22,4980,5,3.0
21,4990,2,0.0
8,5070,33,33.0
10,5080,18,18.0
15,5090,22,22.0
5,5170,26,20.0
33,5180,2,5.0
19,5190,6,12.0
9,5275,19,14.0
1,5280,2,0.0
29,5370,3,3.0
18,5381,19,11.0
11,5391,101,118.0
24,5470,4,4.0
28,5480,3,2.0
4,5490,13,12.0
30,5570,7,7.0
6,5580,39,34.0
26,5593,20,12.0
32,5670,1,2.0
31,5680,4,2.0
23,5690,11,22.0
13,5790,12,9.0
