,Target samples,Deid. samples
0,150,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,72,13
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,30,9
24,0,0
25,3,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,19,9
33,0,0
34,55,28
35,30,16
36,0,0
37,0,0
38,0,0
39,293,191
40,0,0
41,0,0
42,116,84
43,80,60
44,0,0
45,107,87
46,853,721
47,1504,1337
48,0,0
49,1675,1630
50,11,11
51,2060,2125
52,706,774
53,0,0
54,163,192
55,0,0
56,1045,1342
57,25,34
58,0,0
59,88,128
60,17,25
61,49,77
62,24,39
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,17,39
71,58,141
72,0,0
73,0,0
74,11,32
75,3,9
76,0,0
77,0,0
78,0,0
79,4,15
80,0,0
81,0,0
82,0,0
83,8,38
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,69
