AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
25,1,6,1,1,1,N,2,6,9
73,1,1,2,1,2,N,2,4,7
21,1,6,1,3,0,N,2,1,7
74,1,1,1,1,1,N,2,5,7
52,1,1,1,1,1,N,2,9,12
8,1,N,2,1,1,N,2,N,3
34,9,6,2,3,0,N,2,2,7
94,1,3,1,1,1,N,2,4,9
30,1,1,2,1,1,N,2,6,9
20,1,1,2,1,1,N,2,0,5
53,1,1,2,1,1,N,2,9,10
30,1,6,2,1,1,6,2,4,9
11,1,N,2,1,1,N,2,N,3
63,5,4,2,2,0,N,2,1,10
65,1,1,1,1,1,N,2,6,7
53,6,1,1,1,1,N,2,9,9
67,1,1,1,1,1,N,2,9,8
45,6,1,2,1,2,N,2,8,10
7,1,5,2,1,2,N,2,2,10
19,1,6,1,1,1,N,2,3,7
52,1,2,2,1,2,N,2,6,9
37,1,1,1,1,2,N,2,7,10
17,1,6,2,1,1,N,2,1,4
58,1,1,1,1,1,N,2,8,9
19,1,6,2,1,2,3,2,2,7
45,1,1,1,1,1,N,2,9,9
64,1,1,1,1,1,N,2,8,9
4,9,N,1,1,1,N,2,N,2
62,1,1,2,1,1,N,2,8,10
8,9,N,2,1,1,N,2,N,3
87,6,2,2,1,1,N,2,9,11
26,1,6,1,1,2,N,2,6,8
71,1,1,2,1,2,N,2,4,9
72,1,1,1,1,1,N,2,9,8
32,1,6,2,1,1,N,2,6,9
57,1,4,1,1,1,N,2,5,7
28,8,1,2,1,2,N,2,0,5
55,1,4,2,1,2,N,2,7,8
34,1,1,1,1,1,N,2,2,5
2,6,N,2,1,1,N,2,N,N
28,1,6,2,1,1,N,2,5,5
55,1,5,1,1,1,N,2,2,5
24,1,6,2,3,0,N,2,2,5
45,6,4,2,1,1,N,2,8,12
42,1,1,1,1,1,N,2,3,6
3,1,N,2,1,1,N,2,N,1
61,1,6,1,1,2,N,2,6,9
32,1,1,2,1,2,N,2,7,7
41,1,1,1,1,1,N,2,1,7
28,1,6,1,1,1,N,2,6,5
36,6,1,2,1,1,N,2,8,10
28,1,6,2,1,1,N,2,0,5
41,1,1,1,1,1,N,2,8,8
43,1,1,2,1,1,N,2,8,9
55,1,1,1,1,1,N,2,5,9
56,6,1,2,1,2,N,2,9,12
90,1,1,1,1,1,N,2,6,10
51,1,1,1,1,1,N,2,7,8
77,1,1,1,1,1,N,2,4,7
13,1,N,2,1,1,N,1,N,3
10,1,N,2,1,1,N,2,N,3
46,1,1,2,1,1,N,2,6,9
85,6,3,2,1,2,N,2,3,9
9,1,6,1,1,1,N,2,9,9
89,9,3,1,1,2,N,2,6,3
65,1,4,2,1,1,N,2,4,5
12,9,N,1,2,1,N,2,N,3
5,1,N,2,1,1,N,2,N,2
15,1,6,1,1,1,N,1,0,3
94,1,3,2,1,1,N,2,9,9
69,1,3,2,1,1,N,2,2,4
57,1,1,1,1,1,2,2,5,7
57,6,4,2,1,2,N,2,3,5
54,1,1,2,1,1,N,2,9,9
33,1,6,2,2,0,N,2,2,8
78,1,3,2,1,1,N,2,4,9
29,6,6,1,1,2,N,2,2,7
35,1,6,2,1,1,N,2,3,12
8,1,N,2,1,2,N,2,N,3
37,1,2,1,1,1,N,2,6,5
24,6,4,1,1,2,N,2,6,9
94,1,3,2,1,1,N,2,1,3
69,1,1,1,1,1,N,2,6,8
60,1,4,2,1,1,N,2,9,10
28,1,6,1,1,2,N,2,8,7
61,1,6,1,1,2,N,2,5,5
79,6,1,2,1,1,N,2,2,5
84,1,1,1,1,1,N,2,7,5
33,1,1,1,1,1,N,2,2,4
11,1,4,1,1,1,N,2,6,10
34,1,1,2,1,1,N,2,7,10
83,1,6,2,3,0,N,2,2,9
37,1,1,1,1,1,N,2,6,9
67,1,1,2,1,1,N,2,2,10
3,1,N,2,1,1,N,2,N,1
26,1,6,1,1,2,N,2,3,5
5,1,N,2,1,1,N,2,N,2
74,1,4,2,1,1,N,2,3,9
38,1,1,2,1,1,N,2,8,9
58,1,1,1,1,1,N,2,8,5
71,1,1,1,1,1,N,2,0,10
59,1,1,2,1,1,N,1,8,5
75,9,1,2,1,2,N,2,8,9
7,9,N,1,1,1,N,2,N,3
21,1,6,1,2,0,N,1,0,7
60,2,4,2,3,0,N,2,2,1
54,1,1,2,1,1,N,2,4,7
31,1,1,1,1,1,N,2,8,9
23,6,6,1,1,1,N,2,1,9
51,6,1,1,1,1,N,2,7,5
62,1,1,2,1,1,N,2,6,7
56,1,1,1,1,1,N,2,6,5
22,1,6,1,3,0,N,2,4,7
84,1,1,1,1,1,N,1,3,5
28,1,6,2,1,2,N,2,7,9
47,1,1,1,1,1,N,2,2,9
33,1,6,2,1,2,N,2,5,10
29,1,6,2,1,2,N,2,0,10
42,1,1,2,1,1,N,2,8,11
19,1,6,2,2,0,N,1,1,7
94,1,2,2,2,0,N,2,4,7
19,1,6,2,1,1,N,2,1,7
77,1,1,2,1,1,N,2,6,9
1,1,N,2,1,2,N,2,N,N
79,8,1,2,1,1,N,2,7,5
8,1,N,2,1,1,N,2,N,3
15,1,6,2,1,2,N,2,0,4
20,1,6,1,1,1,N,2,9,11
74,1,1,1,1,1,N,2,4,7
57,1,1,1,1,1,N,2,8,10
29,1,1,1,1,1,N,2,8,7
16,1,3,2,1,1,N,2,0,4
16,1,6,2,1,1,N,2,0,4
54,1,1,1,1,1,N,2,6,7
79,1,3,1,1,1,N,2,3,5
15,1,6,2,1,1,N,2,0,3
38,7,1,1,1,1,N,2,9,11
65,6,1,2,1,1,N,2,9,11
47,1,1,1,1,1,N,2,7,9
29,1,6,2,1,2,N,2,1,7
19,6,6,2,1,1,N,2,3,7
24,1,6,1,1,1,N,2,4,7
59,1,1,2,1,2,N,2,4,6
38,1,1,2,1,1,N,2,7,9
49,1,4,2,1,1,N,2,7,9
20,1,2,1,2,0,N,2,3,7
17,1,6,1,3,0,N,2,0,4
27,1,6,2,1,1,N,2,3,10
40,2,2,1,1,1,N,2,5,1
33,1,6,1,1,1,N,2,6,5
52,1,1,1,1,1,N,1,6,9
9,1,N,2,1,1,N,2,N,3
25,1,6,2,1,1,N,2,4,9
53,7,6,2,3,0,N,2,0,4
71,8,1,2,1,1,N,2,4,5
5,1,N,1,1,1,N,2,N,2
56,1,3,1,1,1,N,2,7,5
39,1,1,1,1,1,N,2,8,9
68,1,4,2,1,1,N,2,8,8
32,1,1,1,1,1,N,2,6,7
55,1,6,2,1,1,N,2,4,8
55,1,1,2,1,1,N,2,7,9
75,5,4,2,3,0,N,2,4,2
54,1,1,1,1,1,N,2,4,9
49,1,1,1,1,1,N,2,6,9
30,1,4,2,1,2,N,2,6,10
54,1,6,2,1,1,N,2,9,9
61,1,1,2,1,1,N,2,6,7
55,1,4,1,1,1,N,2,8,7
10,1,N,1,1,1,N,2,N,3
14,1,N,1,1,1,N,2,N,3
32,1,1,1,1,2,N,2,8,9
23,1,1,2,1,2,N,2,2,9
38,1,6,2,1,2,N,2,7,10
33,1,1,1,1,1,N,2,5,4
2,1,N,1,1,1,N,2,N,N
49,1,1,2,1,2,N,2,9,10
21,1,6,2,1,1,N,2,0,5
71,5,1,1,1,2,N,2,3,10
25,1,6,2,1,2,N,2,6,10
82,1,3,2,1,2,N,2,4,4
57,1,4,2,1,1,N,2,3,8
88,1,6,1,3,0,N,2,1,4
62,1,1,1,1,2,N,2,2,5
11,1,N,2,1,1,N,2,N,3
19,1,6,1,1,1,N,2,1,7
64,1,4,2,1,1,N,2,7,8
79,1,4,1,1,2,N,2,3,7
15,1,6,1,1,1,N,2,0,4
81,1,6,2,1,1,N,2,1,4
47,1,1,1,1,1,N,2,8,9
82,7,1,1,1,0,N,2,0,8
50,1,4,1,3,0,N,2,0,5
47,1,1,2,1,1,N,2,2,8
89,8,4,2,1,1,N,2,6,5
30,1,1,1,1,2,N,2,4,5
4,6,N,1,1,1,N,2,N,2
53,1,1,2,1,1,N,2,9,11
81,1,6,2,1,1,N,2,2,5
31,6,6,2,1,1,N,2,3,9
18,1,6,1,1,1,N,2,1,5
77,1,1,2,1,1,N,2,5,8
24,1,1,2,1,1,N,2,5,10
10,1,N,2,1,1,N,2,N,3
84,1,1,1,1,2,N,2,3,5
83,1,6,2,1,2,N,2,4,9
75,1,3,2,2,0,N,2,2,5
89,1,3,2,1,1,N,2,4,5
69,1,1,1,1,1,N,2,9,9
74,1,1,2,1,1,N,2,9,10
28,1,6,1,1,2,N,2,7,9
64,1,4,2,1,1,N,1,8,9
5,9,N,2,1,1,N,2,N,2
66,1,1,2,1,1,N,2,7,9
13,1,N,2,1,1,N,2,N,3
11,1,N,1,1,1,N,2,N,3
23,1,6,2,1,2,N,2,6,7
39,1,6,1,1,1,N,2,0,4
18,1,6,1,3,0,N,2,0,5
57,1,1,1,1,1,N,2,8,10
4,1,N,1,1,1,N,2,N,2
28,1,1,2,1,1,N,2,7,10
8,1,3,2,1,1,N,2,3,8
4,1,N,2,1,1,N,2,N,2
5,1,N,1,1,1,N,2,N,2
15,1,6,1,1,1,N,2,8,3
64,1,1,1,1,1,N,2,4,9
47,1,4,2,1,1,N,2,3,5
71,1,1,1,1,1,N,2,4,7
27,1,6,1,1,1,N,2,5,5
4,1,N,1,1,1,N,2,N,1
18,1,6,1,1,1,N,2,0,9
49,1,1,1,1,1,N,2,8,9
94,1,6,2,3,0,N,2,0,3
63,1,1,2,1,1,N,2,4,8
37,1,6,2,1,2,N,2,5,10
3,9,N,1,1,2,N,2,N,N
48,1,1,2,1,1,N,2,3,9
60,1,1,2,1,2,N,2,0,5
32,6,1,2,1,2,N,2,6,9
6,1,N,1,1,2,N,2,N,2
7,1,N,2,1,1,N,2,N,3
10,1,N,1,1,2,N,2,N,3
71,1,1,2,1,1,N,2,6,7
9,6,N,2,1,1,N,2,N,3
87,1,2,2,1,1,N,2,6,9
69,1,1,2,1,1,N,2,7,9
52,1,1,1,1,1,N,2,2,8
88,1,6,2,1,1,N,2,7,5
53,1,1,2,1,1,N,2,3,5
64,1,1,1,1,1,N,2,9,9
57,1,1,2,1,1,N,2,9,9
76,6,1,1,1,2,N,2,2,1
18,1,6,2,1,1,N,2,1,10
89,1,3,2,1,1,N,2,3,3
56,1,1,1,1,1,N,2,8,9
40,1,1,2,1,1,N,2,7,10
15,1,6,1,1,1,N,1,0,4
3,1,N,1,1,1,N,2,N,1
15,1,6,2,1,1,N,2,1,4
4,1,N,1,1,1,N,2,N,1
61,1,3,2,1,1,N,2,6,9
79,7,3,2,2,0,N,2,2,7
62,1,4,2,1,2,N,2,9,10
17,1,6,1,1,1,N,2,0,4
58,1,6,2,1,1,N,2,0,9
38,6,1,1,1,1,N,2,9,10
64,1,1,2,1,1,N,2,9,12
81,2,6,1,1,1,N,2,4,5
56,2,1,1,1,2,N,2,3,5
29,2,6,2,1,2,N,2,2,8
65,1,1,1,1,1,N,2,8,9
28,1,6,1,1,1,N,1,8,9
46,1,1,2,1,1,N,2,7,9
42,1,1,1,1,1,N,2,9,9
18,1,6,1,1,1,N,2,2,4
2,1,N,1,1,1,N,2,N,N
68,1,1,2,1,1,N,2,2,9
21,1,6,2,3,0,N,2,0,7
56,1,1,2,1,1,N,2,6,5
34,1,6,1,1,2,N,2,8,7
89,2,4,2,1,2,N,2,6,5
52,1,1,1,1,1,N,2,5,10
54,1,1,1,1,1,N,2,9,10
65,1,1,2,1,1,N,2,4,5
54,1,6,2,1,1,N,2,6,10
36,1,1,1,1,2,6,2,7,10
5,1,N,1,1,1,N,2,N,2
54,1,6,2,1,1,N,2,6,7
74,1,1,2,1,1,N,2,5,10
20,2,6,2,3,0,N,2,2,5
94,1,4,2,1,1,N,2,1,9
45,1,6,1,1,2,N,2,7,12
18,1,6,2,1,1,N,2,1,4
16,1,6,1,1,2,N,2,6,4
73,1,4,2,2,0,N,2,3,7
2,1,N,2,1,2,6,2,N,N
77,1,1,1,1,1,N,2,4,9
38,1,1,1,1,1,N,2,6,10
1,1,N,2,1,1,N,2,N,2
15,6,6,1,1,1,N,2,1,4
42,1,1,1,1,1,N,2,5,9
38,1,6,1,1,2,N,2,8,10
69,1,2,1,1,2,N,2,6,7
49,1,1,1,1,1,N,2,9,9
53,1,6,1,1,2,N,2,4,5
73,1,4,1,1,1,N,2,4,9
36,1,6,1,1,1,N,2,8,10
15,1,2,1,1,1,N,2,8,3
46,6,1,2,1,1,N,2,8,5
52,1,4,1,1,2,N,2,5,8
53,1,4,1,1,1,N,2,7,9
35,1,1,2,1,1,N,2,8,10
75,1,1,2,1,1,N,2,5,10
80,1,1,2,1,1,N,2,3,7
42,1,1,2,1,1,N,2,5,9
78,1,4,2,1,1,N,2,6,7
46,1,1,2,1,1,N,2,5,5
46,1,6,2,1,1,N,2,4,7
82,1,3,2,2,0,N,2,0,9
49,1,1,1,1,1,N,2,9,10
1,1,6,1,3,0,2,2,3,7
4,6,N,2,1,2,N,2,N,2
44,1,1,1,1,1,N,2,8,9
37,1,2,1,1,1,N,2,6,10
49,1,1,2,1,1,N,2,9,11
53,1,6,1,1,1,N,2,3,8
9,2,N,1,1,2,N,2,N,3
87,1,6,2,1,2,N,2,4,5
76,1,3,2,1,1,N,2,5,5
64,1,4,1,2,1,N,2,6,5
64,1,2,1,1,2,N,2,8,9
16,6,6,1,1,1,N,2,1,4
51,1,1,1,1,1,N,2,9,9
23,1,4,1,1,2,N,2,7,8
15,1,6,2,1,1,N,2,0,4
15,1,6,2,1,1,N,2,2,4
28,1,6,2,1,1,N,2,7,10
69,1,4,2,1,1,N,2,7,8
17,1,6,1,1,1,N,2,1,4
68,1,1,2,1,1,N,2,8,10
72,1,1,2,1,1,N,1,4,10
27,1,1,2,1,1,N,2,2,9
32,1,6,1,1,2,N,2,1,5
5,1,N,2,1,1,N,2,N,2
62,1,1,2,1,1,N,2,1,9
55,1,1,2,1,1,N,2,8,12
60,1,1,1,1,1,N,2,2,9
2,1,N,1,1,1,N,2,N,N
20,1,6,1,3,0,N,2,1,5
30,1,6,1,1,2,N,2,8,5
78,1,1,2,1,1,N,2,6,7
20,6,6,2,1,2,N,2,1,5
61,1,1,2,1,1,N,2,4,9
62,6,4,1,1,2,N,2,6,10
48,1,1,1,1,1,N,2,5,7
55,1,6,2,3,0,N,2,1,5
48,1,2,2,1,2,N,2,2,5
36,1,1,1,1,2,N,2,2,4
29,1,6,1,1,2,N,2,6,9
7,1,N,1,1,1,N,2,N,3
37,1,4,2,1,2,N,2,5,10
5,1,N,1,1,1,N,2,N,2
74,1,1,2,1,1,N,2,5,5
58,1,1,1,1,1,N,2,9,9
61,1,1,2,1,1,N,2,1,8
59,1,1,2,1,1,N,2,0,7
32,1,6,2,1,1,N,2,6,4
48,1,6,1,1,1,N,2,9,9
21,1,6,2,3,0,N,2,2,7
25,1,6,2,1,2,N,2,7,10
17,2,6,1,1,1,N,2,0,4
1,1,N,2,1,1,3,2,N,N
94,1,3,2,2,0,N,2,0,5
53,1,6,2,1,1,N,2,6,9
61,1,1,1,1,1,N,2,7,7
81,1,6,2,1,1,N,2,3,9
72,1,1,2,1,1,N,2,7,10
73,1,3,2,1,2,N,2,3,5
89,1,6,2,1,2,N,2,3,5
36,1,1,1,1,1,N,2,8,10
85,1,2,2,2,0,N,2,2,5
31,1,6,1,1,1,N,2,9,10
52,2,1,1,1,1,N,2,5,9
73,1,1,2,1,1,N,2,6,7
57,1,1,2,1,1,N,2,5,5
52,8,1,2,1,1,N,2,4,5
29,1,6,1,1,1,N,2,4,9
27,1,6,2,1,1,N,2,4,7
55,1,5,1,1,1,N,2,9,10
87,1,6,1,1,1,N,2,4,5
54,1,1,1,1,1,N,2,0,6
38,1,1,2,1,1,N,2,0,9
42,1,1,1,1,1,N,2,8,9
53,1,1,1,1,1,N,2,5,9
21,1,6,2,3,0,N,2,1,5
87,1,2,2,1,1,N,2,2,5
21,1,6,1,1,1,N,2,2,5
3,6,N,2,1,1,N,2,N,N
37,1,4,2,1,2,N,2,3,9
58,1,1,1,1,1,N,2,8,9
59,1,1,2,1,1,N,2,7,10
