SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,1,1,1,9,0,25-01300,61,0,2,501
2,3,7,1,6,0,25-01300,9,2,4,501
2,6,1,2,3,0,25-01000,23,0,N,501
1,1,1,1,8,0,25-02800,63,1,3,297
2,1,1,1,7,0,25-00503,38,2,4,311
2,6,1,1,3,0,25-01000,30,0,2,501
1,1,1,1,8,0,25-00703,26,0,2,501
1,N,1,2,N,0,25-01300,2,2,4,471
2,1,1,2,0,0,25-01000,57,0,2,501
1,6,1,1,6,0,25-00503,26,0,4,501
1,1,1,1,8,0,25-01000,32,1,3,501
1,6,6,1,7,0,25-01000,45,0,N,70
1,6,1,1,5,0,25-00703,40,0,4,501
2,1,1,1,8,0,25-01300,55,1,3,501
1,6,1,1,1,0,25-00503,17,2,4,501
1,6,1,1,6,0,25-01000,29,0,3,449
1,2,1,0,3,0,25-02800,28,N,N,N
1,1,1,1,8,0,25-01000,65,0,2,501
2,3,1,2,4,0,25-01000,75,0,N,456
1,6,1,1,4,0,25-02800,34,0,2,501
2,N,1,2,N,0,25-00703,39,2,4,303
1,1,1,1,9,0,25-01000,40,0,2,501
2,N,1,1,N,0,25-00703,16,4,6,501
2,6,1,1,4,0,25-00703,17,1,4,501
1,1,1,1,8,0,25-00703,48,1,3,176
1,1,6,1,9,0,25-00503,37,1,3,399
1,N,6,2,N,0,25-01300,10,2,4,294
1,1,1,1,9,0,25-00503,27,3,4,478
1,1,1,1,8,0,25-00703,44,2,4,451
2,1,1,1,2,0,25-01300,78,0,4,305
1,6,6,2,1,0,25-01000,16,2,4,58
2,1,1,1,4,0,25-01000,64,0,3,262
1,1,1,1,5,0,25-02800,53,0,2,501
2,6,1,0,2,0,25-00503,72,N,N,N
1,N,1,1,N,0,25-01300,14,2,4,501
1,1,1,1,9,0,25-01000,35,0,2,501
1,6,1,2,9,0,25-02800,44,0,N,242
2,N,6,2,N,0,25-01000,14,1,3,501
1,1,1,1,9,0,25-01000,37,2,4,249
2,4,6,1,5,0,25-01300,75,0,N,501
1,N,2,2,N,2,25-00503,13,1,3,281
2,N,1,2,N,0,25-02800,12,2,4,501
1,4,1,1,3,0,25-01000,58,0,2,33
2,4,1,1,0,0,25-01000,58,1,4,501
2,1,1,1,8,0,25-02800,60,0,2,501
1,1,1,1,2,0,25-00703,57,0,3,501
1,1,1,1,9,0,25-00503,70,2,5,501
1,1,6,1,9,0,25-00503,62,0,3,501
2,6,1,1,2,0,25-00503,25,0,3,433
1,1,1,1,2,0,25-01300,49,4,6,501
1,3,1,1,8,0,25-00503,81,0,N,501
1,N,1,1,N,0,25-00503,60,0,2,324
1,5,1,1,8,4,25-00503,89,0,2,501
2,6,1,1,2,0,25-01000,26,0,5,501
1,N,1,1,N,0,25-00703,13,4,6,215
1,1,1,1,8,0,25-01300,39,0,2,501
2,6,1,0,1,0,25-01300,89,N,N,442
2,1,1,1,7,0,25-02800,32,0,2,501
1,1,1,1,9,0,25-00503,45,0,5,246
2,6,1,1,1,0,25-00703,29,0,2,501
2,1,1,1,8,0,25-01000,34,0,2,501
2,6,1,2,6,0,25-00503,23,0,N,0
2,6,1,1,8,0,25-02800,19,0,N,501
2,3,1,2,3,4,25-01000,85,0,N,401
2,1,1,1,7,0,25-01300,61,0,2,172
2,6,1,0,0,0,25-00503,35,N,N,N
2,N,1,1,N,0,25-00503,12,3,5,501
1,1,1,1,9,0,25-00703,78,0,2,345
2,1,1,1,6,0,25-02800,67,0,2,501
2,1,1,1,9,0,25-01000,38,2,5,501
2,1,6,1,9,0,25-00503,39,2,3,470
1,3,1,2,2,0,25-01300,90,0,N,19
2,1,1,1,3,0,25-00703,36,0,2,501
2,3,1,1,4,0,25-00703,68,0,N,501
2,6,1,1,2,0,25-00703,34,0,N,131
1,1,1,1,7,0,25-00503,40,2,4,249
2,6,1,2,3,0,25-00703,23,0,N,155
2,N,1,1,N,0,25-00503,1,1,2,501
2,1,1,1,8,0,25-00503,45,2,4,501
2,1,1,1,8,0,25-01300,75,0,2,501
2,1,1,1,7,0,25-00703,71,0,3,501
2,3,1,1,5,0,25-02800,94,0,2,12
2,1,1,2,6,0,25-00503,69,1,3,501
2,4,1,1,4,0,25-00503,58,0,2,306
1,1,1,1,6,0,25-02800,58,0,2,421
1,1,1,1,7,0,25-01300,59,0,7,493
2,N,1,1,N,0,25-01000,8,3,5,501
1,6,1,0,1,0,25-00503,18,N,N,N
1,1,1,1,9,0,25-00703,42,4,6,501
1,1,1,1,3,0,25-01000,55,0,2,501
2,N,1,1,N,0,25-00703,11,1,3,4
1,N,1,1,N,0,25-00703,5,2,4,501
2,4,1,1,4,0,25-00703,59,0,2,501
1,6,1,1,6,0,25-00703,23,0,4,501
2,N,1,1,N,0,25-00703,9,3,5,501
1,N,1,1,N,0,25-00703,1,2,5,281
2,4,3,0,4,0,25-01000,54,3,3,501
1,1,6,2,1,0,25-00503,35,2,2,501
1,4,1,1,9,0,25-02800,77,0,N,501
1,N,1,1,N,0,25-01000,6,4,6,480
1,6,1,0,1,0,25-00503,19,N,N,N
1,1,1,1,9,0,25-01000,56,0,2,501
1,N,1,1,N,0,25-00703,2,1,4,501
1,6,1,1,6,0,25-01000,57,0,2,471
1,N,6,1,N,0,25-00503,9,2,4,501
2,1,1,1,3,0,25-00503,58,0,3,501
1,1,1,1,7,0,25-01300,51,2,4,501
1,4,6,1,7,0,25-01000,75,0,2,501
2,6,1,1,1,0,25-02800,39,1,4,394
1,6,1,0,2,0,25-00703,63,N,N,N
1,1,1,1,9,0,25-01300,35,2,4,501
1,N,1,2,N,0,25-02800,11,3,6,501
2,6,1,1,0,0,25-01000,30,0,3,501
2,N,1,1,N,0,25-02800,4,3,5,501
1,6,1,2,6,0,25-00703,15,2,4,501
2,N,1,1,N,0,25-01000,14,2,4,501
1,1,1,1,9,0,25-00703,37,2,4,501
2,1,1,1,7,0,25-00703,58,1,7,471
2,4,1,2,4,4,25-01000,53,0,N,217
1,1,1,1,7,0,25-01000,63,1,3,501
2,1,1,1,8,0,25-00503,54,0,2,422
2,N,1,2,N,0,25-00503,3,2,4,501
2,1,1,1,3,0,25-02800,72,0,2,501
2,1,1,1,6,0,25-01300,61,0,2,501
1,6,1,1,3,0,25-00703,33,0,4,283
2,N,1,2,N,0,25-02800,5,2,4,264
2,1,1,1,9,0,25-00703,54,1,2,243
2,1,1,1,6,0,25-00703,86,0,2,N
1,4,1,1,5,0,25-00703,54,1,2,501
2,6,6,1,0,0,25-01300,17,2,4,501
1,6,1,2,8,0,25-00703,64,0,N,501
2,3,1,2,3,0,25-01000,91,0,N,501
1,1,1,1,4,0,25-01300,62,0,2,501
1,6,1,2,0,0,25-00503,26,0,N,501
1,6,1,1,5,0,25-01000,30,0,3,501
1,2,3,0,4,0,25-01000,44,3,3,0
1,N,1,1,N,0,25-00503,11,3,5,227
1,5,1,1,8,0,25-01000,89,0,2,426
2,6,1,2,2,0,25-00503,35,0,N,501
2,1,1,1,2,0,25-01000,65,0,2,349
1,6,1,1,2,0,25-02800,35,0,3,501
2,1,1,2,4,0,25-00503,64,0,2,501
1,1,1,1,5,0,25-02800,59,0,4,501
1,1,6,1,9,0,25-01000,60,0,2,501
2,6,1,2,4,0,25-00503,33,0,N,317
1,1,6,1,0,0,25-01000,51,0,5,501
1,6,1,2,5,0,25-01000,26,0,2,501
1,N,1,1,N,0,25-01000,14,2,4,501
1,1,1,1,0,0,25-00703,41,3,4,501
1,1,1,1,9,0,25-00703,49,1,3,322
1,N,1,1,N,0,25-02800,6,1,6,501
1,6,1,1,5,0,25-02800,29,0,4,501
2,1,1,1,4,1,25-01000,48,2,4,501
2,4,1,2,4,2,25-01000,74,0,N,90
2,4,1,1,3,0,25-01300,70,0,N,501
2,4,1,1,6,0,25-00703,78,0,N,501
1,6,1,2,2,0,25-00503,20,0,N,493
1,6,1,0,2,0,25-01000,22,N,N,N
1,6,1,2,0,0,25-02800,39,0,N,273
2,6,1,2,1,0,25-00703,44,1,3,158
2,6,1,2,6,0,25-01000,21,0,N,501
2,6,1,2,3,0,25-01000,38,0,2,501
2,1,1,1,6,0,25-00703,56,0,2,501
1,6,1,2,6,2,25-02800,28,0,N,501
2,6,1,1,6,0,25-00503,28,0,3,501
1,N,1,2,N,0,25-00703,4,2,4,301
2,N,1,1,N,0,25-01000,6,2,4,88
2,6,1,2,3,0,25-00703,19,0,N,137
2,6,1,2,7,0,25-02800,70,0,4,501
2,3,1,2,2,2,25-00703,48,0,N,501
2,6,1,1,0,0,25-00503,21,0,4,498
1,1,1,1,8,0,25-02800,38,2,4,501
2,3,1,1,4,0,25-01300,83,0,3,501
1,6,1,1,4,0,25-00703,50,0,N,501
1,1,1,1,8,0,25-01000,47,2,4,298
2,1,1,1,6,0,25-02800,70,0,2,3
2,6,1,0,0,0,25-01300,18,N,N,N
1,6,6,0,1,1,25-01300,53,N,N,445
2,3,2,1,7,0,25-01000,67,0,N,0
2,6,1,0,0,0,25-01000,63,N,N,N
1,1,1,2,6,0,25-01000,48,2,4,158
1,6,1,1,6,0,25-01000,80,0,4,279
1,6,1,1,1,0,25-01000,15,0,2,306
2,1,1,1,8,0,25-01300,39,2,4,501
