,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-2.220446049250313e-16,-0.004030121407805603,0.02758509524053636,0.019377455511562884,0.031852360668728305,0.003726262332464654,0.0024946381405165675,-0.02313548112238208,0.010951610309730159,0.0014682137717289372,-0.006464774882510127,0.010122100029534956,0.005466801619733647,0.003158520793984144,0.00022846753226714658,0.059443216970489175,0.03592618776579967,0.010012824944421463,0.01628966863276451
AGEP,-0.004030121407805603,0.0,0.008868355582390491,-0.017498762866814663,0.0969392525642326,0.052669558708801856,0.049962860891626604,0.09834242530096904,-0.026104167792606978,0.03943645646692133,-0.004480250086502584,0.08782331989299771,-0.06743486012654282,-0.07050925821016957,-0.07059526367202609,0.00807445685071892,0.025731834207693944,0.12243884842727526,0.17081721524106597
SEX,0.02758509524053636,0.008868355582390498,1.1102230246251565e-16,0.0023968033619578694,0.022586227652801077,-0.018367344615011133,-0.012930689689134977,0.011974394391239214,0.011288143315584084,0.023411724627332743,0.010256617491170938,0.004787202122450519,0.0033198248773049846,0.011139360893206413,0.08070986393841018,-0.01006972326172479,0.013105518671261036,0.018068265125229827,-0.0220134221931872
MSP,0.01937745551156289,-0.017498762866814663,0.0023968033619578694,-2.220446049250313e-16,-0.017563898017551708,-0.01507733185580628,0.00270365557012453,0.017149100624171798,-0.001799680750474153,6.626795598886626e-05,-0.016846066060249288,-0.006367783718818326,-0.0032434830283002702,-0.0030160108363629645,-0.0003660625963325115,0.005573875626233835,-0.01915076698180132,0.05517736303887209,0.005891323996938296
HISP,0.03185236066872831,0.0969392525642326,0.02258622765280108,-0.017563898017551708,0.0,-0.15297123935554402,-0.026575118138012888,-0.014238405727607057,-0.054465612550781604,-0.0636821508113429,-0.008656416593704027,-0.010697181651194146,0.06460923215159359,0.06518955207495045,-0.0064385641789319725,0.018963218928548256,-0.008976408862282556,-0.004902400984750774,-0.022404536967518384
RAC1P,0.003726262332464654,0.052669558708801856,-0.018367344615011136,-0.01507733185580628,-0.15297123935554402,0.0,0.021727813965655485,0.00472559253031711,-0.004539021084491224,-0.06517011935930055,0.003619198233135834,-0.020910129398029595,-0.017238143221876823,0.012378694418798145,0.012118141274212211,-0.02863987661168574,-0.03668899787561058,-0.036510977886044085,-0.0513083951229204
NOC,0.0024946381405165675,0.049962860891626604,-0.012930689689134973,0.00270365557012453,-0.026575118138012884,0.0217278139656555,0.0,-0.003247415142882182,0.013591744690557128,0.0011630590072588542,0.050600881600884696,-0.026435638625990313,0.006897936352038725,-0.001010216698560773,0.04741261072669656,0.006013153341739016,-0.023212947642860367,-0.08916479698079016,-0.08156934690605558
NPF,-0.023135481122382083,0.09834242530096904,0.011974394391239214,0.01714910062417191,-0.014238405727607055,0.00472559253031711,-0.003247415142882404,-2.220446049250313e-16,-0.0005639891917608719,0.0015155441577711594,0.030264044131774685,0.009887820706478118,0.04959279860590504,-0.001134302368606649,0.05267333087708626,0.00820936750052717,-0.014804275602428214,-0.07840171623676928,-0.07568157245236673
HOUSING_TYPE,0.010951610309730173,-0.026104167792606985,0.011288143315584077,-0.0017996807504740975,-0.0544656125507816,-0.004539021084491224,0.013591744690557128,-0.0005639891917608164,0.0,0.018196036609866684,-0.00023455180672414533,0.005170824051630246,0.009005272972290937,0.01456494199298386,-0.010783453927407063,-0.013872688114253268,0.05415864942930575,0.07894740525971988,0.00205345463033995
OWN_RENT,0.0014682137717289372,0.03943645646692133,0.023411724627332743,6.626795598886626e-05,-0.0636821508113429,-0.06517011935930055,0.0011630590072588265,0.0015155441577711587,0.018196036609866684,0.0,-0.012494758339079315,-0.0247087423931128,-0.012589176675366947,-0.011854151694176446,-0.0025690720475432163,0.010836264662345833,-0.015409802364244066,-0.015152883899460366,0.03233551198404886
