,INDP,count_target,count_deidentified
12,1190,3,0.0
26,1270,1,0.0
15,1280,3,0.0
5,1370,2,1.0
23,1570,1,2.0
31,1770,1,0.0
0,1880,1,0.0
1,1990,7,0.0
7,2190,41,3.0
21,2270,1,0.0
4,2290,5,0.0
11,2570,1,0.0
24,2590,1,0.0
29,2690,1,0.0
33,2790,1,0.0
22,2870,2,0.0
19,2880,3,0.0
20,2970,1,0.0
6,2980,3,0.0
27,3095,1,0.0
9,3291,7,1.0
18,3365,2,2.0
25,3370,3,0.0
10,3380,19,0.0
13,3390,19,2.0
14,3490,6,1.0
28,3570,2,0.0
17,3580,7,1.0
2,3590,1,0.0
32,3680,1,0.0
30,3875,1,0.0
8,3960,10,1.0
3,3980,7,0.0
16,3990,5,1.0
