SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,3,8,2,1,1,32-00405,31,0,10,6
2,4,2,2,4,0,32-00405,47,0,2,501
2,N,2,2,N,0,24-01004,11,3,5,125
1,6,1,1,8,0,51-01301,70,0,N,501
2,3,1,1,6,0,24-01004,84,0,N,428
1,N,1,2,N,1,32-00405,12,3,4,501
2,1,6,2,2,0,06-08507,75,0,2,102
2,N,1,1,N,0,26-02702,11,0,2,501
1,6,2,2,2,0,13-04600,51,0,3,39
2,1,2,2,6,0,51-01301,59,0,2,501
2,6,1,1,0,0,51-51255,21,0,3,501
2,6,1,2,8,0,17-03529,24,0,N,501
1,2,1,1,8,0,32-00405,47,0,N,501
1,1,1,1,3,0,19-01700,54,0,3,249
2,3,8,1,5,3,06-07502,69,0,N,267
2,1,1,1,9,0,08-00803,36,1,2,501
1,N,1,2,N,1,32-00405,9,5,10,43
2,3,2,1,4,0,17-03529,84,0,2,501
1,4,1,1,8,1,32-00405,44,1,2,501
2,3,2,1,2,0,01-01301,73,0,N,501
2,1,6,1,2,0,24-01004,81,0,2,501
2,3,2,1,5,0,01-01301,86,0,N,418
1,6,6,2,3,0,24-01004,28,1,3,476
2,6,1,2,2,0,28-01100,29,0,N,74
2,6,1,1,4,0,24-01004,23,0,N,303
2,4,1,2,8,0,51-51255,58,0,N,420
2,1,1,1,6,0,26-02702,40,0,2,317
2,N,1,2,N,1,32-00405,1,1,3,465
1,6,1,1,6,0,26-02702,31,0,N,305
2,1,1,1,6,0,40-00200,45,1,3,247
2,N,1,1,N,0,30-00600,7,1,4,259
1,6,2,2,1,0,29-01901,67,0,4,334
2,6,2,2,2,0,17-03531,21,0,3,76
1,6,2,2,7,0,17-03529,29,0,N,454
1,5,2,2,3,0,19-01700,30,0,N,106
2,N,2,1,N,0,28-01100,6,2,4,199
2,1,2,2,0,0,36-04010,57,0,2,486
2,2,1,1,5,4,40-00200,33,1,5,314
1,6,2,2,3,0,26-02702,59,0,N,106
1,6,2,1,7,0,28-01100,69,0,2,501
1,6,1,1,8,3,06-07502,25,0,N,501
2,N,9,1,N,1,32-00405,3,2,4,501
2,N,1,1,N,0,51-01301,10,2,4,501
1,1,1,1,7,0,30-00600,53,0,3,501
2,1,1,2,9,0,06-08507,38,3,6,501
2,N,2,2,N,0,36-03710,7,0,4,369
1,6,1,1,4,0,24-01004,64,0,N,180
1,6,1,1,9,0,19-01700,31,0,2,501
2,3,2,1,8,0,38-00100,64,0,2,356
2,1,6,1,N,0,24-01004,35,0,6,N
2,N,1,1,N,0,38-00100,8,0,2,501
2,N,3,1,N,0,30-00600,11,5,6,443
2,N,1,1,N,0,24-01004,6,3,4,501
2,1,1,1,9,0,08-00803,27,2,4,501
2,N,1,1,N,0,51-01301,13,2,4,164
2,5,2,1,1,0,17-03531,76,0,2,18
1,6,6,1,0,0,13-04600,15,1,3,0
2,N,2,2,N,0,17-03531,3,4,6,285
1,6,2,2,1,0,24-01004,21,0,3,37
2,6,2,2,0,0,36-04010,34,5,6,387
1,1,1,1,8,0,24-01004,63,0,2,501
1,6,1,2,2,0,17-03529,19,0,N,410
1,6,2,2,8,0,17-03529,62,0,N,501
