HISP,SEX,DEAR,PINCP,NOC,EDU,RAC1P,DEYE,DPHY,DENSITY,MSP,POVPIP,HOUSING_TYPE,OWN_RENT,NPF,AGEP,PINCP_DECILE,DVET,INDP_CAT,PUMA,DREM
0,2,2,152500.0,0,9,1,2,2,3292.0,6,24,1,1,N,58,1,N,6,19-01700,2
0,2,2,9200.0,3,9,6,2,2,3292.0,1,382,1,2,5,29,0,N,N,08-00803,2
0,1,2,16000.0,0,7,1,2,2,3292.0,1,501,1,1,2,59,6,N,0,01-01301,2
0,2,2,21800.0,3,4,1,2,2,3292.0,6,0,1,2,4,15,0,N,N,38-00100,2
0,2,2,20000.0,0,7,1,2,2,3292.0,4,389,1,1,4,47,1,N,N,30-00600,2
0,1,2,N,0,5,1,2,2,9844.0,6,0,1,2,N,32,0,N,18,51-51255,2
0,2,2,14000.0,0,5,1,2,2,9844.0,3,501,1,2,N,65,8,N,12,32-00405,1
0,2,2,10650.0,0,10,1,2,2,36052.0,1,501,1,1,2,67,9,N,12,06-07502,2
0,2,2,12600.0,1,3,3,2,2,3292.0,N,501,1,1,3,9,N,N,N,30-00600,2
4,2,2,92000.0,0,9,1,2,2,3292.0,6,484,1,2,N,47,7,N,11,08-00803,2
0,1,2,13000.0,0,11,1,2,2,3292.0,3,186,1,1,N,86,9,N,N,24-01004,2
1,2,2,2000.0,0,3,1,2,2,3292.0,N,221,1,1,2,14,N,N,N,19-01700,2
0,2,2,119000.0,2,3,1,2,2,3292.0,N,501,1,1,4,13,N,N,N,06-08507,2
0,2,2,6500.0,2,1,2,2,N,3292.0,N,316,1,1,4,3,N,N,N,13-04600,N
0,2,2,278900.0,0,5,2,2,2,16396.0,1,206,1,2,2,64,0,N,N,17-03529,2
0,2,2,5000.0,0,5,2,2,2,9844.0,4,501,1,1,2,70,8,N,13,17-03531,2
0,2,2,72000.0,0,7,1,2,2,3292.0,1,142,1,1,2,66,0,N,10,01-01301,2
0,2,2,9200.0,2,3,2,2,2,9844.0,N,501,1,1,4,13,N,N,N,17-03531,2
0,2,2,0.0,0,7,2,2,2,9844.0,3,314,1,1,4,90,5,N,N,17-03531,2
0,2,2,61000.0,4,3,1,2,2,3292.0,N,501,1,1,6,10,N,N,N,24-01004,2
0,1,2,418000.0,0,7,1,2,2,3292.0,6,297,1,1,2,24,4,N,7,30-00600,2
0,2,2,45000.0,0,3,2,2,2,3292.0,N,501,1,1,5,13,N,N,N,28-01100,2
0,2,2,34000.0,1,5,2,2,2,55708.0,6,182,1,2,2,64,0,N,18,36-03710,2
0,2,2,36000.0,0,9,6,2,2,3292.0,1,501,1,1,2,69,9,N,9,13-04600,2
4,1,2,N,0,7,1,1,1,9844.0,1,225,1,1,2,75,3,N,N,51-51255,2
0,2,2,0.0,0,9,1,2,2,9844.0,6,302,1,1,N,34,6,N,11,51-51255,2
0,2,2,78000.0,3,9,1,2,2,3292.0,1,129,1,2,5,66,1,N,13,38-00100,1
0,2,1,15000.0,0,12,1,2,2,3292.0,4,501,1,2,N,39,8,N,12,26-02702,2
0,2,2,22000.0,3,10,1,2,2,3292.0,6,501,1,1,5,40,7,N,15,38-00100,2
0,1,2,46000.0,0,5,1,2,2,3292.0,6,501,1,1,N,61,1,N,4,38-00100,2
0,1,2,18900.0,0,3,1,2,2,3292.0,4,333,1,1,N,68,6,N,3,40-00200,2
4,1,2,N,0,9,1,2,1,3292.0,1,501,1,1,2,62,1,N,16,13-04600,2
0,1,1,57000.0,0,6,2,2,2,3292.0,6,90,1,1,4,40,2,N,N,28-01100,2
0,1,2,40000.0,0,7,1,2,2,42604.0,6,501,1,1,N,21,9,N,N,30-00600,2
0,2,2,N,0,9,2,2,2,36052.0,6,0,1,2,N,26,0,N,N,06-07502,2
0,1,2,8600.0,2,2,1,2,N,3292.0,N,3,1,2,3,4,N,N,N,30-00600,N
0,1,2,80000.0,0,9,1,2,2,9844.0,6,310,1,2,N,24,5,N,9,51-51255,2
1,1,2,130000.0,0,7,8,2,2,9844.0,6,501,1,1,6,18,0,N,N,32-00405,2
0,2,2,5000.0,0,9,1,2,2,3292.0,1,457,1,1,3,65,8,N,N,24-01004,2
0,2,2,87000.0,0,5,1,2,2,3292.0,2,256,1,1,N,77,3,N,N,24-01004,2
1,1,2,91000.0,1,3,1,2,2,3292.0,N,321,1,2,4,11,N,N,N,38-00100,2
0,2,2,3000.0,0,9,1,2,2,3292.0,1,464,1,1,2,75,6,N,9,24-01004,2
0,1,2,10500.0,0,7,6,2,2,36052.0,6,302,1,2,N,36,6,N,7,06-07502,2
1,2,2,32000.0,3,4,8,2,2,9844.0,6,463,1,2,5,15,0,N,N,32-00405,2
0,2,2,4300.0,0,10,6,2,2,16396.0,6,90,1,2,N,25,2,N,N,17-03529,2
0,2,2,N,1,1,6,2,2,3292.0,1,501,1,1,2,33,0,N,N,40-00200,2
0,1,2,960.0,1,5,2,2,2,49156.0,6,165,1,2,5,18,0,N,N,36-04010,1
0,1,2,0.0,0,7,2,2,2,9844.0,6,206,1,2,N,21,4,N,0,17-03531,2
0,2,2,35000.0,0,7,2,2,2,16396.0,6,475,1,2,3,25,8,N,16,17-03529,2
0,1,1,N,0,5,1,1,1,3292.0,1,133,1,2,2,54,2,N,N,19-01700,1
0,1,2,N,2,4,2,2,2,3292.0,6,0,1,2,4,17,0,N,N,29-01901,2
0,1,2,0.0,0,5,2,2,2,3292.0,1,59,1,2,2,62,2,N,N,01-01301,2
0,1,2,79950.0,1,12,1,2,2,3292.0,1,501,1,1,2,51,9,N,10,24-01004,2
0,2,2,200000.0,0,11,6,2,2,3292.0,6,501,1,2,N,37,9,N,11,24-01004,2
0,2,2,63000.0,2,4,6,2,2,36052.0,6,501,1,1,6,17,0,N,N,06-07502,1
0,1,2,N,0,4,2,2,2,3292.0,6,102,1,1,2,15,2,N,N,26-02702,2
4,1,2,1700.0,1,4,1,2,2,3292.0,6,501,1,1,3,33,2,N,6,06-08507,2
0,1,2,50000.0,0,10,1,2,2,3292.0,1,501,1,2,3,59,9,N,9,24-01004,2
0,2,2,0.0,0,9,2,2,2,49156.0,5,263,1,1,2,39,4,N,12,36-04010,2
0,2,2,11000.0,2,1,1,2,N,3292.0,N,60,1,1,4,4,N,N,N,30-00600,N
0,2,2,150000.0,0,9,1,2,2,3292.0,1,501,1,1,2,53,7,N,12,38-00100,2
0,2,2,0.0,0,5,2,2,2,3292.0,6,501,1,1,7,36,2,N,N,29-01901,2
0,2,2,964000.0,0,12,1,2,2,3292.0,1,501,1,1,2,41,9,N,11,08-00803,2
0,2,2,0.0,0,5,1,2,2,3292.0,3,316,1,1,N,83,7,N,N,30-00600,2
