,feature,divergence
22,PWGTP,17.082252218444854
23,WGTP,13.905915983229225
10,DENSITY,2.110519139401329
14,PINCP,1.1798853607792534
1,AGEP,0.3260832105418835
11,INDP,0.2168367651396449
0,PUMA,0.14893181608559297
16,POVPIP,0.07300402075044121
13,EDU,0.03623337844863431
7,NPF,0.03130547087904134
15,PINCP_DECILE,0.028301701247807287
3,MSP,0.02345883786709063
12,INDP_CAT,0.0217842799495079
6,NOC,0.01369717773086833
5,RAC1P,0.00715032941987215
9,OWN_RENT,0.004480036015195782
4,HISP,0.0039045333953607575
17,DVET,0.0037537183532397956
8,HOUSING_TYPE,0.002197635199187118
2,SEX,0.0009696472077310725
19,DPHY,0.0007718787244359177
18,DREM,0.0005335503805411757
21,DEAR,3.945608758960245e-05
20,DEYE,3.8678107654600835e-05
