,INDP,count_target,count_deidentified
9,1170,1,0.0
0,1180,4,0.0
36,1190,3,4.0
31,1280,2,1.0
27,1370,6,2.0
23,1790,1,0.0
29,1880,2,2.0
12,1990,6,4.0
22,2070,2,0.0
34,2090,1,1.0
28,2170,3,0.0
25,2180,1,0.0
7,2190,2,2.0
35,2290,2,4.0
3,2370,6,8.0
1,2390,1,0.0
32,2570,1,1.0
26,2590,1,0.0
14,2670,3,0.0
18,2870,5,5.0
19,2880,1,4.0
40,2890,1,3.0
6,2980,3,1.0
10,3080,4,1.0
33,3170,3,0.0
16,3180,5,2.0
13,3291,8,10.0
37,3365,1,0.0
4,3380,4,2.0
24,3390,2,0.0
38,3490,1,3.0
5,3570,9,8.0
8,3580,53,31.0
39,3590,1,0.0
21,3670,2,0.0
15,3875,5,0.0
17,3895,3,4.0
30,3960,1,4.0
20,3970,1,0.0
2,3980,3,2.0
11,3990,3,5.0
