,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,17,2,5,2,2,2,N,9,0,1,15,6,0,7,1,N,8,404,48-02516,1,1,36,2,5,2,2,2,N,1,0,N,111000.0,9,501,61.53846153846154
1,40,2,2,2,2,2,N,4,0,1,15,1,1,3,1,60000.0,1,400,48-02101,1,2,69,2,2,2,2,2,N,1,0,2,15000.0,3,452,53.84615384615385
2,1,2,2,2,N,N,N,2,1,1,N,N,3,6,2,8300.0,N,224,48-02101,8,1,3,2,2,2,N,N,N,1,6,7,N,N,0,61.53846153846154
3,69,2,2,2,2,2,N,5,0,1,17,1,3,5,2,26000.0,7,501,48-02101,1,1,38,2,2,2,2,2,2,1,2,6,117000.0,9,500,46.15384615384615
4,65,2,6,2,1,1,N,5,1,2,N,4,N,N,0,65300.0,2,N,48-02515,1,1,57,2,6,2,1,2,N,2,N,N,9200.0,2,N,76.92307692307693
5,62,2,6,2,2,2,N,7,0,1,N,3,0,N,1,28400.0,5,211,48-02515,2,2,67,2,6,2,2,2,N,1,0,N,17000.0,3,138,69.23076923076923
6,38,2,7,2,2,2,N,4,1,1,N,6,2,3,2,87000.0,0,207,48-02507,1,2,66,2,7,2,2,2,N,1,0,N,9300.0,2,76,53.84615384615385
7,62,2,7,2,2,2,N,5,0,1,N,6,0,2,1,1300.0,2,501,48-02507,1,2,19,2,7,2,2,2,N,1,1,5,10.0,1,501,61.53846153846154
8,20,2,7,2,2,2,N,9,0,1,10,6,0,2,1,50000.0,2,501,48-02510,1,2,46,2,7,2,2,2,N,1,0,N,80000.0,8,501,69.23076923076923
9,46,1,6,1,1,N,N,4,0,1,N,4,0,N,1,48500.0,2,404,48-02515,1,1,57,2,6,2,1,2,N,1,0,7,12000.0,3,488,38.46153846153847
10,58,2,7,2,1,2,N,5,0,1,N,1,0,3,1,N,3,501,48-02510,2,2,68,2,7,2,2,2,N,1,0,4,0.0,0,321,53.84615384615385
11,73,2,2,2,2,2,N,5,0,1,4,1,1,2,2,0.0,6,501,48-02101,1,1,21,2,2,2,2,2,N,1,1,3,27000.0,5,182,61.53846153846154
12,60,2,7,2,2,2,N,7,0,1,4,4,0,3,2,30340.0,5,87,48-02507,1,2,73,2,7,2,2,2,N,1,0,N,27100.0,5,221,69.23076923076923
13,2,2,2,2,N,N,N,N,1,1,N,N,2,4,1,N,N,11,48-02101,8,2,0,2,2,2,N,N,N,1,4,6,N,N,178,69.23076923076923
14,72,2,6,2,2,2,N,6,0,1,10,1,0,2,1,N,9,257,48-02515,1,1,49,2,6,2,2,2,N,1,0,2,73000.0,8,475,69.23076923076923
15,34,2,2,2,2,2,N,5,1,1,6,6,3,5,1,N,6,501,48-02102,1,1,20,2,2,2,2,2,N,1,0,N,12000.0,3,90,53.84615384615385
16,32,2,7,2,2,2,N,8,0,1,15,1,2,4,1,27300.0,7,501,48-02507,2,2,60,2,7,2,2,2,N,1,0,4,13000.0,3,501,69.23076923076923
17,2,2,6,2,N,N,N,1,1,1,N,N,2,5,2,39500.0,N,41,48-02515,1,2,4,2,6,2,N,N,N,1,3,4,N,N,4,61.53846153846154
18,75,2,7,2,2,2,N,4,0,1,15,4,0,3,1,41800.0,0,484,48-02510,1,2,73,1,7,2,2,2,N,1,0,3,17600.0,4,94,61.53846153846154
19,66,2,2,2,2,2,N,10,0,1,3,1,4,6,1,9600.0,8,382,48-02101,1,2,29,2,2,2,2,2,N,1,1,3,70000.0,8,501,61.53846153846154
20,53,2,2,2,2,2,N,3,0,1,9,1,0,3,1,273200.0,7,501,48-02102,1,2,58,2,2,2,2,2,N,1,0,4,38500.0,6,434,61.53846153846154
21,56,2,5,2,2,2,N,9,0,1,1,1,0,2,1,18700.0,9,342,48-02516,1,1,52,2,5,2,2,2,N,1,0,2,150000.0,9,501,76.92307692307693
22,16,2,7,2,2,2,N,7,0,1,6,6,0,N,2,N,4,497,48-02510,1,2,21,2,7,2,2,2,N,1,0,2,0.0,0,400,61.53846153846154
23,54,2,6,2,2,2,N,5,0,1,N,3,0,N,1,48400.0,9,496,48-02515,1,1,82,2,6,2,2,1,N,1,0,N,0.0,0,0,61.53846153846154
24,71,2,6,2,1,2,N,7,0,1,9,1,3,5,2,21130.0,2,122,48-02515,1,2,28,2,6,2,2,2,N,1,0,2,20000.0,4,118,46.15384615384615
25,12,2,7,2,2,2,N,6,0,1,13,3,4,6,1,0.0,6,289,48-02510,1,2,55,2,7,2,2,1,N,1,0,N,5450.0,2,41,46.15384615384615
26,80,2,2,2,2,2,N,4,0,1,1,4,0,2,1,73900.0,7,501,48-02102,1,1,63,2,2,2,2,2,N,1,3,7,69000.0,8,197,53.84615384615385
27,33,2,6,2,2,2,N,8,1,1,11,1,0,2,1,42800.0,5,197,48-02515,1,2,35,2,6,2,2,2,N,1,2,4,18000.0,4,304,53.84615384615385
28,44,2,7,2,2,2,N,8,0,1,14,1,0,3,1,45000.0,7,501,48-02510,1,1,34,2,7,2,2,2,N,1,2,4,80000.0,8,501,61.53846153846154
29,12,2,2,2,2,2,N,3,0,1,N,N,1,4,2,44890.0,N,318,48-02101,9,2,11,2,2,2,2,2,N,1,1,3,N,N,349,69.23076923076923
