SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,2,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,3,501
1.0,1,1.0,1.0,3,0.0,48-02101,59.0,0,3,501
1.0,1,1.0,1.0,7,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,7,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,7,0.0,48-02515,60.0,0,3,501
1.0,1,1.0,1.0,7,0.0,48-02515,60.0,0,3,501
1.0,1,1.0,1.0,7,1.0,48-02507,63.0,0,2,501
1.0,1,1.0,1.0,7,1.0,48-02507,63.0,0,2,501
1.0,1,1.0,1.0,7,1.0,48-02507,63.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02102,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02102,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02102,54.0,0,2,501
1.0,1,1.0,1.0,8,0.0,48-02102,54.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02102,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501
1.0,1,1.0,1.0,9,0.0,48-02515,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02515,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02515,60.0,0,3,501
1.0,1,1.0,1.0,9,0.0,48-02515,60.0,0,3,501
1.0,4,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,4,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
1.0,6,1.0,1.0,0,0.0,48-02101,15.0,2,4,501
1.0,6,1.0,1.0,0,0.0,48-02101,15.0,2,4,501
1.0,6,1.0,1.0,0,0.0,48-02101,15.0,2,4,501
1.0,6,1.0,1.0,0,0.0,48-02101,15.0,2,4,501
1.0,N,1.0,1.0,N,0.0,48-02102,8.0,3,5,501
2.0,1,1.0,1.0,7,0.0,48-02102,60.0,0,3,501
2.0,1,1.0,1.0,7,0.0,48-02102,60.0,0,3,501
2.0,1,1.0,1.0,7,0.0,48-02102,60.0,0,3,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,1,1.0,1.0,8,0.0,48-02516,37.0,2,5,501
2.0,4,1.0,1.0,8,0.0,48-02101,54.0,0,2,501
2.0,6,1.0,1.0,0,0.0,48-02101,15.0,2,4,501
2.0,6,1.0,1.0,2,0.0,48-02101,18.0,0,3,501
2.0,6,1.0,1.0,2,0.0,48-02101,18.0,0,3,501
2.0,6,1.0,1.0,2,0.0,48-02101,18.0,0,3,501
2.0,6,1.0,1.0,2,0.0,48-02101,18.0,0,3,501
2.0,6,1.0,1.0,2,0.0,48-02101,18.0,0,3,501
2.0,N,1.0,1.0,N,0.0,48-02101,14.0,3,6,501
2.0,N,1.0,1.0,N,0.0,48-02102,8.0,3,5,501
2.0,N,1.0,1.0,N,0.0,48-02102,8.0,3,5,501
2.0,N,1.0,1.0,N,0.0,48-02102,8.0,3,5,501
