,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-2.220446049250313e-16,-0.03340872154816965,0.013570425875695952,0.03832711747109957,0.040430582728597245,0.06301593082591503,-0.022588189328900346,-0.05269418289416534,0.034877708917379666,-0.010841497734079289
AGEP,-0.03340872154816965,0.0,-0.05002594069521527,-0.09174608349838533,0.0942859729582308,0.14807577891763174,0.38338505118782235,0.32037408528864836,0.01572205960466408,-0.3464782418277599
SEX,0.013570425875695952,-0.05002594069521527,1.1102230246251565e-16,-0.052057145245019976,0.03398314485308006,0.006612864779313777,0.021391465637435922,0.045603378899520534,-0.002835037716394347,0.130358190513283
MSP,0.03832711747109957,-0.09174608349838533,-0.052057145245019976,0.0,0.000595610724261909,0.017661347686791996,0.41880964996622794,0.3809513089532929,0.034260936797790985,-0.10765693713417104
HISP,0.04043058272859725,0.09428597295823078,0.03398314485308006,0.0005956107242619125,-2.220446049250313e-16,-0.10784242604674904,-0.024530790303014124,-0.014774664183829183,-0.05337423064512337,0.06929389336137767
RAC1P,0.06301593082591503,0.14807577891763174,0.006612864779313777,0.017661347686791996,-0.10784242604674904,0.0,-0.07799726349445314,-0.06741185183712728,-0.019930310038974542,0.08089050342223296
NOC,-0.022588189328900343,0.38338505118782235,0.021391465637435925,0.41880964996622794,-0.02453079030301412,-0.07799726349445314,0.0,-0.6893248398153717,-0.1867390708326013,0.160667380383202
NPF,-0.05269418289416534,0.32037408528864836,0.045603378899520534,0.380951308953293,-0.014774664183829183,-0.06741185183712728,-0.6893248398153718,0.0,0.0027392220252183156,0.1373921070218264
OWN_RENT,0.034877708917379666,0.015722059604664072,-0.0028350377163943487,0.034260936797790985,-0.053374230645123366,-0.019930310038974542,-0.18673907083260133,0.002739222025218316,-1.1102230246251565e-16,-0.042242105988495066
PINCP_DECILE,-0.010841497734079287,-0.34647824182775994,0.130358190513283,-0.10765693713417103,0.06929389336137767,0.08089050342223296,0.16066738038320197,0.13739210702182636,-0.042242105988495066,2.220446049250313e-16
