,Target samples,Deid. samples
0,3,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,3,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,5,3
39,0,0
40,25,17
41,0,0
42,14,10
43,0,0
44,52,41
45,12,10
46,15,13
47,0,0
48,60,55
49,709,670
50,198,197
51,3349,3438
52,2558,2763
53,300,335
54,49,58
55,18,22
56,76,97
57,145,203
58,0,0
59,32,47
60,2,3
61,0,0
62,0,0
63,0,0
64,5,9
65,0,0
66,0,0
67,4,8
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
