PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-02800,54,2,6,0,1,1,2,1,2,3683.9,6370,7,9,12200.0,2,70,N,2,2,2,2,53,54
25-00703,86,2,3,0,1,N,N,2,0,2195.3,N,N,6,12900.0,2,N,N,2,1,2,2,65,0
25-00503,50,2,6,0,1,0,2,1,2,2872.7,8270,12,7,5490.0,1,70,N,2,2,2,2,68,60
25-00503,47,2,1,0,6,0,3,1,2,2872.7,N,N,3,0.0,0,137,N,2,1,2,1,107,106
25-00703,90,2,3,0,1,0,2,1,1,2195.3,N,N,5,39600.0,5,501,N,2,1,2,1,57,56
25-01000,94,2,3,0,1,N,N,2,0,2447.1,N,N,5,2800.0,1,N,N,2,1,1,2,86,0
25-02800,55,2,4,0,1,N,N,2,0,3683.9,N,N,5,13200.0,2,N,N,2,2,2,2,51,0
25-02800,94,2,3,0,1,0,2,1,1,3683.9,N,N,5,181700.0,9,501,N,2,1,2,1,178,177
25-01000,94,2,3,0,1,N,N,2,0,2447.1,N,N,5,2800.0,1,N,N,2,2,2,2,24,0
25-01300,36,2,1,0,1,3,5,1,1,1457.2,6480,8,9,56000.0,6,501,5,2,2,2,1,330,302
25-00703,70,2,6,0,1,N,N,2,0,2195.3,N,N,7,8400.0,2,N,N,2,1,2,2,25,0
25-02800,47,2,2,0,1,0,4,1,2,3683.9,N,N,6,0.0,0,220,N,2,1,1,2,461,461
25-00703,19,2,6,0,1,N,N,3,0,2195.3,8670,14,7,5520.0,1,N,N,2,2,2,2,56,0
25-00503,65,2,4,0,1,0,3,1,1,2872.7,2190,4,4,24000.0,4,501,N,2,1,2,2,49,50
25-00703,43,2,1,0,1,2,5,1,1,2195.3,N,N,5,0.0,0,449,N,2,2,2,2,72,67
25-01000,94,2,3,0,1,N,N,2,0,2447.1,N,N,5,13500.0,2,N,N,2,1,1,2,86,0
25-00703,94,2,3,0,1,N,N,2,0,2195.3,N,N,5,13500.0,2,N,N,2,1,1,1,65,0
25-01300,94,2,1,0,1,0,2,1,1,1457.2,N,N,9,31500.0,4,501,N,2,2,2,2,104,101
25-00503,66,2,4,0,1,2,3,1,2,2872.7,8191,12,5,0.0,0,18,N,2,1,2,2,81,79
25-00703,89,2,3,0,1,N,N,2,0,2195.3,N,N,7,0.0,0,N,N,2,1,2,2,22,0
25-00703,90,2,3,0,1,0,3,1,1,2195.3,N,N,5,39600.0,5,501,N,2,1,2,1,53,44
25-00703,16,2,6,4,1,N,N,2,0,2195.3,N,N,4,0.0,0,N,N,2,1,2,2,19,0
25-00703,34,2,6,0,1,N,N,3,0,2195.3,N,N,1,6400.0,1,48,N,2,2,2,2,66,0
25-01000,82,2,1,0,1,0,2,1,1,2447.1,N,N,9,23200.0,3,501,N,2,2,2,2,66,67
