AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE
13,9,N,1,1,1,N,2
0,9,N,1,1,2,N,2
36,9,1,2,1,1,N,2
64,9,1,2,1,1,N,2
7,9,N,1,1,1,N,2
4,9,N,1,1,1,N,2
6,9,N,1,1,1,N,2
64,9,1,2,1,2,N,2
36,9,6,1,1,0,N,2
1,9,N,1,1,1,N,2
26,9,6,2,1,2,N,2
17,9,6,2,1,1,N,2
47,9,4,1,1,1,N,2
4,9,N,1,1,1,N,2
62,9,1,2,1,2,N,2
12,9,N,1,1,2,N,2
2,9,N,1,1,2,N,2
4,9,N,1,1,1,N,2
48,9,1,1,1,2,N,2
15,9,6,1,1,2,N,2
21,9,6,1,1,1,N,2
24,9,6,1,1,2,N,2
10,9,N,2,1,2,N,2
58,9,1,1,1,1,N,2
64,9,4,2,1,1,N,2
48,9,1,1,1,2,N,2
30,9,4,1,1,2,N,2
10,9,N,1,1,1,N,2
23,9,1,2,1,1,N,2
16,9,6,1,1,1,N,2
12,9,N,1,1,2,N,2
23,9,6,1,1,2,N,2
3,9,N,1,1,2,N,2
16,9,6,2,1,1,N,2
10,9,N,1,1,1,N,2
17,9,6,1,1,1,N,2
49,9,1,2,1,1,N,2
10,9,N,2,1,1,N,2
9,9,N,1,1,1,N,2
7,9,N,2,1,1,N,2
60,9,1,1,1,1,N,2
9,9,N,1,1,1,N,2
40,9,1,1,1,2,N,2
48,9,6,2,2,2,N,2
7,9,N,1,1,1,N,2
2,9,N,2,1,2,N,2
18,9,6,1,1,1,N,2
9,9,N,2,1,1,N,2
44,9,1,1,1,2,N,2
48,9,4,1,1,1,N,2
9,9,N,2,1,1,N,2
37,9,1,2,1,1,N,2
23,9,6,1,1,2,N,2
39,9,4,1,1,2,N,2
37,9,6,1,1,2,N,2
0,9,N,1,1,2,N,2
29,9,1,1,1,1,N,2
39,9,1,2,1,1,N,2
15,9,6,2,1,1,N,2
72,9,3,2,1,1,N,2
57,9,4,1,1,1,N,2
48,9,1,2,1,1,N,2
49,9,1,2,1,1,N,2
87,9,1,2,1,2,N,2
9,9,N,1,1,1,N,2
1,9,N,1,1,1,N,2
38,9,4,2,1,2,N,2
25,9,6,1,1,2,N,2
0,9,N,1,1,2,N,2
4,9,N,1,1,2,N,2
7,9,N,1,1,1,N,2
49,9,1,2,1,2,N,2
54,9,4,1,1,1,N,2
7,9,N,1,1,1,N,2
29,9,1,1,1,1,N,2
15,9,6,1,1,2,N,2
35,9,1,1,1,2,N,2
0,9,N,1,1,1,N,2
53,9,4,1,1,1,5,2
31,9,4,2,1,2,N,2
9,9,N,2,1,1,N,2
13,9,N,2,1,1,N,2
41,9,1,2,1,1,1,2
0,9,N,1,1,2,N,2
16,9,6,2,1,1,N,2
17,9,6,2,1,1,N,2
30,9,6,2,1,2,N,2
22,9,6,1,1,0,N,2
3,9,N,1,1,1,N,2
12,9,N,1,1,1,N,2
66,9,1,2,1,2,N,2
9,9,N,1,1,1,N,2
57,9,4,1,1,1,N,2
72,9,1,1,1,1,5,2
49,9,1,2,1,2,N,2
29,9,1,2,1,2,N,2
4,9,N,1,1,2,N,2
30,9,6,2,1,2,N,2
18,9,6,2,1,1,N,2
10,9,N,1,1,1,N,2
79,9,1,1,1,2,2,2
13,9,N,2,1,1,N,2
12,9,N,1,1,2,N,2
11,9,N,2,1,2,N,2
34,9,2,1,1,2,N,2
35,9,6,1,1,1,N,2
9,9,N,2,1,1,N,2
10,9,N,2,1,1,N,2
21,9,6,1,1,1,N,2
20,9,6,2,1,1,N,2
69,9,3,2,1,1,N,2
27,9,1,1,1,1,N,2
25,9,6,2,1,2,N,2
14,9,N,1,1,1,N,2
26,9,6,2,1,1,N,2
60,9,6,2,2,0,N,2
4,9,N,1,1,1,N,2
29,9,1,1,1,1,N,2
31,9,6,2,1,1,N,2
36,9,6,1,1,1,N,2
13,9,N,2,1,1,N,2
60,9,6,2,2,0,N,2
0,9,N,1,1,2,N,2
48,9,4,1,1,1,N,2
49,9,1,2,1,1,N,2
24,9,6,1,1,2,N,2
14,9,N,2,1,1,N,2
9,9,N,1,1,1,N,2
25,9,6,1,1,0,N,2
44,9,1,1,1,2,N,2
17,9,6,1,1,1,N,2
6,9,N,1,1,1,N,2
23,9,6,1,1,2,N,2
9,9,N,1,1,1,N,2
56,9,5,1,1,2,N,2
18,9,6,1,1,1,N,2
33,9,6,1,1,2,N,2
66,9,1,2,1,2,N,2
36,9,1,2,1,1,N,2
4,9,N,2,1,2,N,2
24,9,6,2,1,1,N,2
21,9,6,2,1,1,N,2
29,9,1,1,1,1,N,2
22,9,6,2,1,1,N,2
3,9,N,1,1,1,N,2
69,9,1,1,1,1,N,2
1,9,N,2,1,1,N,2
12,9,N,1,1,2,N,2
53,9,5,1,2,1,N,2
17,9,6,2,1,1,N,2
18,9,6,1,1,1,N,2
9,9,N,1,1,1,N,2
72,9,3,2,1,1,N,2
26,9,6,2,1,2,N,2
13,9,N,2,1,1,N,2
28,9,1,2,1,2,N,2
4,9,N,1,1,2,N,2
57,9,4,1,1,1,N,2
9,9,N,2,1,1,N,2
24,9,1,2,1,1,N,2
17,9,6,2,1,1,N,2
44,9,1,1,1,2,N,2
22,9,6,2,1,1,N,2
